,review,score,label,pred,prob
0,진짜 잼잇음그렇게 무섭진 않앗지만 반전떄부터 진짜 잼잇음 ㅋㅋㅋㅋ,9,1,1,99.69245195388794
1,잠시도 눈을 뗄수 없는 긴장감과 스릴 그리고 반전 최고,9,1,1,99.62331056594849
2,어제에서 시사회로 봤는데 짱입니다반전도 대단하구암튼 강추,10,1,1,99.49776530265808
3,제가 무서운 영화를 엄청 좋아하는데 이 영화는 개인적으로 되게 재밌게 봤습니다 마지막 쯤에 반전 내용이 있어서 더욱더 스릴 넘쳤던것같습니다,10,1,1,99.40710067749023
4,정말 재밌어요 원래 귀신영화 안보는 편인데 이건 정말 재밌네요,9,1,1,99.10300374031067
5,생각보다 재미있고 무서웠다 그리고 마지막의 반전이 정말 괜찮았다,10,1,1,98.99972677230835
6,난재밌던데ㅋㅋㅋㅋ반전도최고고 깜짝깜짝놀래고 되게무서웠던ㅋㅋ,10,1,1,98.96843433380127
7,간만에 정말 재밌는 공포스릴러였네요 기대이상,10,1,1,98.93226623535156
8,반전이 정말 최고 ㅋㅋㅋㅋㅋ 나름괜찮았음,9,1,1,98.9229142665863
9,완죤짱무서웠어요하루종일가리고보고그리고 반전도좋았어요,10,1,1,98.89888763427734
10,캐 졸작 영화 이거 진짜 돈아까워 미침ㅡㅡ,1,0,0,99.90284144878387
11,내용도 없고 완전기대이하의 실망스러운 영화,2,0,0,99.88684952259064
12,최악에영화귀신은무서운영화에나오는귀신에 마판에는 미저리로돈아깝다,1,0,0,99.85375702381134
13,중간중간에 놀라기만 하고 긴장감이 없다 정말 재미 없었고 시간이 아까웠다,1,0,0,99.83845055103302
14,살다살다 이렇게 재미없고 안 무서운 공표영화 첨 봤다 정말 돈 아깝다,1,0,0,99.83612596988678
15,반전없으면이영화망한다깜짝깜짝만놀라지장난하나 시간아깝다 돈도아깝다,3,0,0,99.83415901660919
16,장난하나ㅡㅡ진짜 캐돈아까운 영화엿다 괜히봤어 ㅡㅡ돈날림,1,0,0,99.80268776416779
17,장난하나 내가 진짜 돈아까워 죽을꺼 같다 ,1,0,0,99.79905784130096
18,돈아까웠다기대했는데 너무뻔하고 참급하게 만드셨나,3,0,0,99.79275465011597
19,전혀 안무섭고갑자기튀어나와서 놀라기만 갈수록재미없어지는,1,0,0,99.76342022418976
