,review,score,label,prob
9513,예고편 보고 재미없을 것 같단 분들 많으시지요 그냥 한번 믿고보세요지금 보고와서 깜놀했어요 너무 재밌고 스토리도 탄탄하고 연기력도 끝내주고 지루할 틈없이 보고 왔네요짱이에요 ,9,1,99.89415407
9951,누가 별로래 ㅋㅋㅋ 개꿀잼이었다 ㅋㅋㅋ 최근 한국 영화중에 진짜 제일 재밌게 봄 ,10,1,99.88890886
4697,관람객배우분들 연기 진짜 잘하셔서 완전 초집중하고 봤어요 장르도 신박하고 긴장감넘치고 최고의 영화였습니당 ,10,1,99.88222122
10776,진짜 사간가는줄 모르고 봤네요기대안햇는데 이렇게 재밌을줄은 몰랐습니다강추 정말 강추합니다 ,10,1,99.88162518
5101,우리나라에서는 보기 힘들거란 생각했던 소재스토리도 탄탄하고 너무 재밌게 봤어요김윤석아저씨 연기는 역시 최고박소담배우 연기 너무 잘해서 진짜 무서웠어요ㅠㅠ그래도 너무 재밌게 봤어요 ㅎ ,10,1,99.87012744
10280,요번년도에 본영화중에 제일 재밌었음 여주 연기할때 온몸에 소름돋았다 ,10,1,99.86758232
12410,기대를하고 봤는데도  정말 재미있게봤다  정말 영화 짱짱하게 잘 만들었다  배우 조차 연기를 너무 잘해서 감탄연발 여자이지만 강동원보다 여자배우 연기에 완전 반해버렸다저 배우 정말 매력 넘치는거같다 ,10,1,99.86358285
8762,스릴있고긴장감이 넘쳐서 집중있게 잘 보았습니다 연기들도 너무 좋았어요 아쉬운점이 있다면 초반전개스토리가 탄탄하지 못했던것같아요ㅠ 그점이 매우 이쉬운거빼곤 매우매우 좋았습니다 ,9,1,99.86026287
2606,무서워요 ㅠㅠㅠ 영신 역의 배우 박소담씨 소름끼치도록 연기 너무 잘해요 그래도 긴장감 넘치고 재미있었습니다 또보고싶네요 ㅎ ,10,1,99.85663891
1354,몰입도 최고 연기력 최고 상영시간이 짧게만 느껴졌다는정말 최고예요 ,10,1,99.85641241
14612,노잼 이렇게재미없는영화처음봄 ,1,0,99.94781315
13342,재미 너무 없네요 스토리도 너무 뻔하고 너무 어설픈 영화 ,3,0,99.94499087
14654,점도 아까운영화 정말 돈 아까운 영화 중간에 나온 영화 ,1,0,99.94235337
954,한마디로 형편없는 졸작임 시간 아깝다 엑소시스트 패러디한것 같음 왜 평들이 좋은지 이해안감 진짜 알바가 있긴하나봄 ,1,0,99.92421567
4299,보는 내내 지루하고 긴장감도 없고 뻔한 스토리에 짜증만 난다시간이 아까운 영화 ,4,0,99.92394447
14869,씹노잼돈아까움ㅉㄷ야보지마라 ,1,0,99.923715
7468,제작비가 턱없이 부족했나이 소재에 이 배우들을 가지고 이렇게 재미없게 만드는것도 재주다 러닝타임이 분 넘는것 뿐이지 연출이나 뭐나 딱 대학 졸작 수준이었음 ,1,0,99.92223382
178,최악 진짜 완전실망 귀신쫒는거밖에 없음 백만 관객이봤다기에 봤는데 진짜 개실망함올레티비 천원으로 내려도 안볼 영화임 ,1,0,99.92104769
14067,엄청 기대했는데  완전 졸작이네요졸려서 혼났네 ,2,0,99.91998076
11978,기 천주교 영화  배우 어설픈연기 시간낭비네 괜히봤다 ㅡㅡ ,1,0,99.91950691
