,review,score,label,prob
621,저는 시간 순삭이던데 ㅋㅋ 이렇게 두시간이 금방 지나간 적은 없었는데 ㄷㄷ 진짜 꿀잼 강추에요 ,10,1,99.95076060295105
305,재미있음 긴장감도 있고 시리즈 계속 나올만함킬타임으로 완전 최고추천 ,9,1,99.9415636062622
1165,난 그냥 평범한 대학생인데 오랜만에 영화보러갔다가 정말정말 너무 재밌게 보고왔음 진짜 보는내내 내 온몸이뒤틀리고 아픈느낌 ㅋㅋㅋ 정말 재밌게잘봤음 담편도 꼭볼거임 ㅎㅎㅎ ,10,1,99.9386191368103
252,매우 재미있었습니다 배우분들의 연기력도 좋았고 감사합니다ㅎㅎ ,9,1,99.92678165435792
291,오래전 큐브란 영화를 꽤 인상깊게 봤는데 쏘우와 큐브를 아주 절묘하게 잘 섞은 업그레이드 작품 잔인하거나 무서운 장면은 없으나 진짜 심장이 쫄깃해져서 엄청 재밌게봄 ,10,1,99.92328882217407
1016,진짜 재밌게봄 요즘 나온 거 중에 젤 재밌게 봄 ,10,1,99.91844892501831
164,저는 엄청재밌게봣네요 추천추천 ,10,1,99.9063491821289
1306,한글 오타가 좀 보였어요 그리고 존잼  개인적으로 너무 재밌었고  나오면 꼭  볼거에요 그리고 흑인 배우 피지컬이 너무 멋있더라구요 ㅋㅋ ,10,1,99.90373849868773
65,몰입도  진짜 재밋음 대박 ㅜㅜㅜ그리고 방탈출 할때마다 방 마다 퀄리티 개쩔고아이디어좋음 ,10,1,99.90323185920715
381,평점이 별로 안좋길래 그냥 기대 안하고 봤는데 진짜 방탈출 하는 느낌에 몰입감 좋고 전개도 답답하지 않게 나가서 더 마음에 들었어요 탈출하는 룸 각각도 실감나고 흔하지 않아서 재미있게 봤습니다  얼른 보고싶어여ㅠ,10,1,99.89261627197266
458,진짜 노잼도 이런노잼이있나점대 평점믿고 봣더만 진짜 다 알바들인가점도 아깝다 ,1,0,99.92998242378236
1297,오랜만에 본 욕나올 정도로 재미없는 영화 보다가 그냥 나갈까 고민했지만 뒷부분은 재미있겠지하면서 참고 봤는데 긴장감  전혀 못 느낌 전체적으로 다 별로였던 영화 개봉을 기다렸던 내가 싫다 ,1,0,99.91334676742555
1286,정말 재미 없다 정말 비추천 한다 돈이 더 아깝다  이게 영화임  졸작 영화 임 ,1,0,99.909970164299
506,관람객최악입니다내돈 돌려줘 ,1,0,99.89274740219116
435,내가 본 올해 최악의 영화 개연성도 없고 몰입감도 없음 ,1,0,99.8794049024582
1241,스토리가 허접하다 긴장감이 안느껴진다  배우들 연기가 좋은편이 아니다  영화 광고에 나오는 장면 빼놓고는 볼만한 장면이 없다 고로 재미가 없다 큐브같은 영화랑 비교했을때 퀄리티가 너무 떨어짐,3,0,99.87356960773468
480,진짜 너무재미없다 댓글들 다 알바씅거임 세상에서 제일재미없었다 하 돈아까워 ,1,0,99.87267851829529
444,존나 허접한 삼류영화그이상 그이하도 아님 ,4,0,99.86256659030914
163,개쌉노잼 무슨 연개성은 다 말아먹었고 스토리 얘기하고싶은건 알겠는데 너무 질질끌면서 딱 나오는 해답도 안주는 개쌉노잼영화 ,1,0,99.85989332199095
944,개노잼 퍼즐이 뭐 다 개연성 하나없고 어거지로 끼워넣는 수준이고 장르는 스릴러인데 무슨 긴장감 하나도 없네  캐릭터 설정도 하나하나 유치하고 이런류의 늘 보던 뻔한 캐릭터 설정임 ,4,0,99.85892176628113
