,review,score,label,pred,prob
0,왠만하면 평안하는데 공포물매니아로써 진짜 이런 수작이 있었다니 흠 아무튼 너무 재밌게봤습니다 물론 호불호는 갈릴듯합니다만 제 주관으로썬 정말 전개나 복선자체가 아주 신선했어요 최고,10,1,1,99.70885515213013
1,너무재밌게봤어요 영화의 몰입도가 장난아니어서 진짜 아무것도 아닌장면에 놀라게 되고분위기로 이끌어가는데 배우들 연기력이 장난이 아니네요기괴한 영상이 일품입니다 간만에 너무 재밌는 미스테리 영화봐서 기분이 좋습니다,10,1,1,99.68595504760742
2,너무너무 재미있어요 결말에 한 번 더 놀라고 엄청 무섭고 반전이 쩔어서 재미있습니다,10,1,1,99.62748885154724
3,살면서 제일 재미있게 본 인생영화인데 평점 왜 이렇게 낮죠ㅠㅠ 몰입도 잘 되고 재미있었습니다,10,1,1,99.62366223335266
4,평점 한번도 남겨본적없는데 예상평점보다 낮아서 남겨요 평소 공포영화 자주보는데 보고나와서 이렇게 계속 잔상이 남는 영화는 처음이네요 너무 기괴하고 충격적이고 배우들 연기가 넘 생생해서 실제같아 더욱 무서워요,10,1,1,99.62320923805237
5,처음엔 이게 뭐지하면서 지루해 하다가 중반부 부터 엄청 몰입했어요 영화가 끝나고 나서 여운도 많이 남고 스토리가 엄청 탄탄하고 숨어있는 복선도 많습니다 강추요,10,1,1,99.62121248245239
6,비디오포털에서 그냥 무료길래 기대안하고 봤는데 정말 재밌게 봤네요잘 이해가 안돼서 블로그글 찾아보고 완전히 이해하니 이렇게 잘만들고 재밌는 영화는 정말 오랜만에 보는듯하네요강추합니다,10,1,1,99.61895942687988
7,수작에 들어갈 정도로 잘 만들어진 영화라고 생각함 마지막 여분은 압도당했다는 표현을 쓸 수있을 정도로 공포스러웠고 아직도 여운이 남음,10,1,1,99.59041476249695
8,오랜만에 오싹하고 소름 돋았습니다 전 너무 무섭고 인상 깊어요,9,1,1,99.58308935165405
9,외국공포영화 좋아하는 사람으로써 간만에 정말 훌륭한 영화한편봄 진짜 인생공포영화임 ㄹㅇ 보는내내 소름돋았었음,10,1,1,99.51174259185791
10,재미없음 보지마셈 돈낭비개함 시간낭비도개함 내가 본 공포영화중 최최최악,1,0,0,99.91479218006134
11,개노잼 개노잼개노잼ㄴ갬노잼 개노잼,1,0,0,99.90610480308533
12,점은 못주나 ㅋㅋ 이거 빠는사람들이 왜이렇게 많은지 모르겠는데 영화보는내내 지루하고 마지막에 약간 공포영화 시작되나 싶은순간 그지같은 엔딩으로 끝난다 솔직히 시간 너무 아깝고 점도 주기 아깝다 뭘말하고싶은건지 ,1,0,0,99.90529417991638
13,너무나 지루하다 지루하고 지루하다 결말은 유치하다ㅠㅠ 내시간아깝다,2,0,0,99.89438951015472
14,진짜 정말 재미 없다 나중에 후반 스토리 이해가 안된다 돈 정말 아깝다 비추천 한다 정말 지루 하다,1,0,0,99.8822271823883
15,점도아까움 영화내용 너무조잡함,1,0,0,99.8816967010498
16,핵노잼 진심 하나도 안 무섭고 지루해요 돈아까워,1,0,0,99.88154768943787
17,별한개도아깝습니다 태어나 본 영화중 최악,1,0,0,99.88104999065399
18,존나 노잼 다운해서 봤는데 돈아깝다,1,0,0,99.87785220146179
19,재미도 없고 개연성도 노답수준 시간낭비 영화,2,0,0,99.87606704235077
