,review,score,label,prob
785,저는 개인적으로 편보다 더 재미있었어요 배우분들 연기는 물론이고 그냥 다 십점만점입니당 보는내내 심장 잡고 봤어요 특히 딸 인칭 시점 나올때 어떡해라는 말이 절로 나올정도로 몰입했어요 추천합니다 강추 띵작 ,10,1,99.87035393714905
1121,꿀잼 너무 재밌어서 영화관에서 보고 집에서 도 봤어요 완전 강추합니다 ,10,1,99.85386729240416
291,편 못보고 편 봤지만 너무너무 재미있었어요오랜만에 너무재밌는영화봐서 기분좋았습니다 ㅎㅎ ,10,1,99.84169006347656
883,와 진짜 여름 영화다 빨리 다들 가서 보세요 너무 쫀득쫀득하다 너무 재밌어 흑 ㅠㅠㅠ ,10,1,99.82296228408812
817,편을 처음 봤을 때와 같은 신선함은 덜하지만 더 스펙타클하고 아이들의 성장기가 엿보여서 너무 좋았음 강추 ,10,1,99.82027411460876
122,진짜 꼭 극장에서 봐야하는 영화 몰입감 최고에요 ,10,1,99.8117983341217
1485,오 근래본 영화중에 최고넘재밋게 봣어요 ,10,1,99.8105525970459
1677,편보고 편봤더니 훨 재밌었어용 배우들 연기가 장난아녔어요임신중인데 보러갔는데 조금 깜짝 놀라는 장면두 있었굴 아무튼 두말필요없이 넘 잘봤어여 굿굿 ,10,1,99.79684948921205
1263,너무 긴장해서 어깨가 아플정도지만 진짜 너무 재밌다  편보다 더 재밌어 ㅠㅠ 편도 기대된다 ,10,1,99.79143142700195
690,보통 편이 너무 인상적이라 후속작들이 뭍혀버리는데 이건 엔딩보자마자 편 기다려질 만큼 매우 재밌음 강추 ,10,1,99.78926181793213
781,최악임 여기서 왜 끝나 ,2,0,99.92092847824095
314,최악의 영화였음 개연성은 어디너무 억지 긴장감 제로입니다 ,1,0,99.91707801818848
1441,초반은 참 맘에 들었는데   이건 갈수록  개판이네 ,4,0,99.91640448570251
1566,ㅈㄴ재미없음 ㅅㅂ 이런걸 돈주고 보는 내가 ㅂㅅ이다 ,1,0,99.89966750144958
639,역대급 노잼이고 너무 졸려요 친구랑 둘이 봤는데 둘다 끝나고서 재미없다고 하더라고요 돈 아까움 ,3,0,99.89020526409149
318,내생에 이렇게 재미없는 영화는 처음이다스토리도없고 긴장감도없고 결말은 허무하다기대잔뜩하고갔는데 돈시간만 버리고왔다재밌다는 사람들은 다 알바들인가 ,1,0,99.88974332809448
1765,시간이 아까운 급 쓰레기 영화임 ,2,0,99.88417625427246
272,진짜 돈 존나 아깝다 ㅋㅋㅋㅋ영화 보는 내내 암걸려 것 같았는데 영화내용은 원짜리 예고편임 ,2,0,99.86963272094728
290,노잼입니다 제발 보지마세요 ,1,0,99.85931515693665
126,어우평점이 왜이렇게높죠너무지루했습니다 ,2,0,99.85805451869965
