,review,score,label,pred,prob
0,내생에 최고 잼있는 영화다 공포스릴감동 만점,10,1,1,99.69431161880493
1,최고의 좀비영화중 하나 넘 잼있게 봤어여 강추,10,1,1,99.65620040893555
2,긴장감이 최고다 좀비영화중 단연 최고,10,1,1,99.62773323059082
3,와결말모르고않볼뻔함정말충격적긴장감도굿 좀비영화중최고봉이다,10,1,1,99.6050775051117
4,군더더기없고 긴장감넘쳤음근데평점이너무낮다,10,1,1,99.59335327148438
5,긴장을 놓을 틈을 안주는 좀비영화중의 최고의 수작이라 생각합니다,10,1,1,99.58544969558716
6,굿 흔한 좀비 영화 분위기가 아니라 좀 색다른 맛이 있달까 중간중간 러브라인도 좋고 ㅎㅎ 한두군데 발암 장면이 있긴 하지만 너무 어둡지도 않고 정말 재밌다고 느끼면서 본 영화 개인적으론 맘에 듬,9,1,1,99.57653284072876
7,최고의 데뷔작 스트레스가 확풀림  좀비물중 단연 최고,10,1,1,99.5577335357666
8,제가 본 좀비영화중 최고인듯 이작품 이상이 나올지가레지던트이블도 좋아라하지만바이오하자드게임을해봐서그런지 ㅎㅎ 누가머래도 새벽의저주가 좀비영화중 최고,10,1,1,99.5308518409729
9,완벽한리메이크놀라운재해석흠잡을데없는 내인생 최고의 영화,10,1,1,99.5124340057373
10,전문가들도 평점 주기를 꺼릴만큼 형편 없는 영화를 명작이라고 칭송하다니 진짜 네이버 수준 심하다 심해 개연성부족에 허술한 연출 엉성한 스토리 전개점도 아깝다,1,0,0,99.89768862724304
11,최악의 영화 이딴걸 영화라고이렇게 긴장감 안 느껴지고 허접하게 느낀 좀비영화는 첨이다 시간 버렸네,2,0,0,99.89162683486938
12,뜬금없는 좀비의 출현 개연성 없는 스토리 좀비 영화의 바이블이라기에는 개연성이 부족하다고 느껴진다 평점 한 개도 아깝다,1,0,0,99.86112713813782
13,별다섯개준사람 전부 초딩들 좀비보니까 잼냐스토리 엉망 진창임 절대 보지마셈,1,0,0,99.78005588054657
14,류 배우들 연기 형편 없고 내용 전개도 뻔히 보이는 전개 오히려 일후가 더 낫다 보다가 끔,2,0,0,99.77287948131561
15,쓰레기중의 쓰레기다 정말 그 말 밖에 할 수 없는 쓰레기 류작 아 생각하면 할 수록 화나네 이딴걸 급 네이버 알바들만 있나 평점을 믿을 수가 없네,1,0,0,99.74824488162994
16,스릴도 없고 설정도 뜬금없고그렇다고 화끈한것도 아니고그냥 타임킬링용 좀비물,4,0,0,99.68966543674469
17,아 시간 낭비했다 스토리며 설정이며 너무 뜬금없고 사람들 평점 왜 이렇게 후하게 주는지 모르겠는데 속지마셈,3,0,0,99.65012669563293
18,때리고 죽이면 되는 좀비영화라지만 각본이나 전개가 너무 유치하다,4,0,0,99.64532554149628
19,기분 드러워지는 영화 감독이 약 빨고 만든 영화 짜증난다,1,0,0,99.6162623167038
