,review,score,label,prob
2641,오랜만에 너무 재밌게 본 공포물ㅋㅋ 마지막 장면도 개소름이였고 반전도 대박이였음 ,10,1,99.839186668396
3277,내가 본 공포영화 중 최고  진짜 처음부터 끝날때까지 심장이 쫄깃쫄깃   넘 잘봄 강추합니다 ,10,1,99.810528755188
2577,진짜쩐다 이건 대박임 아 ㅠㅜㅜ 너무 재밋어 너무 신나게 봣어요 ,10,1,99.79672431945801
2510,최근에 약 년간 봤었던 공포영화중에 제일 스릴있고 재밌었어요 공포영화의 정석이랄까요처음부터 마무리까지 정말 최고였습니다 ,10,1,99.77725148200987
1826,컨저링도 안빼놓고 다 봤는데 마지막부분보고 잘이해가안가는데 ㅋㅋ 암튼 나는 넘 넘 잼있게봣다 ㅋㅋ ,10,1,99.76502656936646
2184,이건정말 시리즈물중 최고인데요또한 파미가 너무 이쁘네요반했음극장에서 보는데 조용해질 정도로 오싹한 그 기분 꼭 보세요잼나네요 ,10,1,99.74834322929381
567,살짝 아쉬운점이 있긴 하지만 정말 재밌게 봤습니다ㅎㅎ ,10,1,99.74690675735474
2812,지루할 틈 없이 전개되었고 반전과 함께 마지막 장면이 왠지모르게 슬프게 다가왔다 ,10,1,99.73581433296205
2408,꿀잼 꼭보겨야합니다 너무 재미있어요 ㅎㅎ ,10,1,99.72690343856813
2662,최근 본 공포영화들중에 가장 소름끼치고 긴장감 넘치는 것 같아요 공포영화는 항상 옳습니당ㅠㅠ ,10,1,99.71617460250854
870,핵노잼 이렇게 재미없는 공포영화는 처음 ,2,0,99.95067417621613
304,ㅈㄴ 재미없네 꺼 시간낭비입니다 ,1,0,99.93654191493988
2243,개 씹 노잼이다 보다가 잠 진짜 돈주고 보기 아까움 ,1,0,99.93232786655426
509,노잼ㅋ 하나도 안무섭고 돈아까움 ,4,0,99.93113875389099
245,진짜 묻고싶다평점알바는 대체 얼마씩 받는거냐이렇게까지 거짓말을 하게진짜 핵노잼 시간낭비였다하나도 안무섭고 하나도 재미없음별점은 점도 선택가능하게 좀 바꿔줘라기본시작이 점부터네 점도 아까운데ㅉ ,1,0,99.91675913333893
2128,핵노잼진짜너무노잼 이게뭐야 아무내용도없고 악령퇴치에 논리나 개연성 이런거 하나도 없음 그냥 귀신의집 수준 ,1,0,99.90884065628052
2321,망작 탄생 컨저링 시리즈중 최악 그냥 컨저링이나 한번 더 돌려보세요 ,4,0,99.90397989749908
1678,노잼로보기도아까울정도임 ,4,0,99.90303218364716
582,걍 개노잼 놀래키는전개 개뻔하고 스토리 너무 루즈함 ,1,0,99.90220069885254
1791,개노잼 돈 개아까움 치킨이나 사먹으셈 ,1,0,99.90066289901732
