,review,score,label,pred,prob
0,오랜만에 정말 잼있게 본영화 말이 필요없음 굿 굿,10,1,1,99.72220659255981
1,반전의최고쏘우 기대된다극장가서보고싶지만 세그래도짱,10,1,1,99.65882301330566
2,단 한순간도 영화에서 눈을 뗄수 없었다단연최고,10,1,1,99.56242442131042
3,년동안 봐온 영화중 반전최고 식스센스보다 반전이 너무굿,10,1,1,99.54660534858704
4,진짜재밌다 한시도눈을뗄수없었다 반전이최고였다,10,1,1,99.54291582107544
5,최고 지루할틈이없네 반전도알고봤지만재밌었음,10,1,1,99.53038692474365
6,영화내내 눈을 뗄수 없는 긴장감 정말 재밌네요,10,1,1,99.51659440994263
7,최근본영화중 단연 최고 진짜잼있다,10,1,1,99.5003342628479
8,대단함한순간도 놓칠수없는 짜릿함쾌감마지막반전은 최강임,10,1,1,99.4961142539978
9,반전이 있다는건 알고봤지만 반전이 뭔지는 모르고 봐서 재밌었다 반전뿐만이 아니라 전체적인 스토리 흐름과 영화 내내 흐르는 긴장감이 좋았다,10,1,1,99.46333169937134
10,쓰레기영화 왜 만든건지 이유를 모를 영화 별 개도 아깝다,1,0,0,99.8721718788147
11,정말 어이없는 내용에 결론이 정말 코믹하군요 최악의 영화입니다,1,0,0,99.86717700958252
12,이딴걸 반전이라고ㅡㅡ,3,0,0,99.75402653217316
13,어설픈 반전 잔인하기만 한 내용별로인듯,2,0,0,99.74889159202576
14,존나거지같구만뭐 그리 대단한 반전이냐들 호들갑은,1,0,0,99.69876408576965
15,번째 보지만 허접한 급 삼류영화 보면 볼수록 억지스럽고 개연성따윈 없고반전도 개억지 설정 저예산 영화의 한계 이 영화를 고평가하는 골빈놈들이 한심하다이 영화는 분명 평점이 조작된거다,2,0,0,99.69480037689209
16,너무 억지다 나올때봤는데 지금적지만 그때도 ㅡㅡ졸작이였음,1,0,0,99.68973398208618
17,뻔하디 뻔한 너무 지겨운 이런 스타일 지겨워 ㅜㅜ,1,0,0,99.67686831951141
18,이런영화 좀 보지마라 진짜 최악이다 후회 ㅡㅡ,1,0,0,99.6575266122818
19,아이덴티티 반도못미친다반전보단 절라 어의없다비추,1,0,0,99.63528513908386
