,score,review,label,pred,prob
3359,10,진짜 긴장하면서 지루할틈없이 재밌게 봤어요 약간의 교훈도 있었어요 강추,1,1,99.84781742095947
5491,10,개봉한 오늘 봤는데 개인적으로 전 정말 재밌게 봤습니다 얻는 교훈도 있어서 더욱 뜻깊은 영화였구요 강추,1,1,99.84710216522217
2908,10,와 진짜 소재도 신선하고 몰입감도 좋았다 지루할틈이 없이 잘봤다 여주인공연기도 진짜 잘하구 재밋게 본영화였구 완전 강추합니다,1,1,99.83025789260864
4261,10,기대안하고 봤는데 나름 재밌어요ㅎㅎ 근래 가장 재밌게 봤네요 ㅎ,1,1,99.82913732528687
4916,10,여운도깊게남고 너무재밌게봤습니다 ㅎㅎ,1,1,99.8092770576477
1812,9,오 진짜 재밌다 추천할 가치가있는 영화ㅎㅎ 뻔한 내용인줄 알았는데 뻔하지않고 반전도 예상치 못함ㅎㅎ 매일의 삶에 대한 교훈까지 있어서 넘 좋았고 유쾌한 내용이었다 또 봐야지ㅎㅎ,1,1,99.79708194732666
3043,10,너무 재미있었어요 마냥 무서운건줄 알았는데 감동적인 부분들도 많고 ㅋㅋ범인 추리하면서 보는 것도 참 재미있네요글구 여주 너무 매력적임 ㅎㅎ,1,1,99.79490041732788
2361,10,넘넘 재밌고 감동적이고 무섭기도하면서 오랜만에 재밌는 영화를 찾았네욮ㅎ,1,1,99.79063272476196
2726,9,진짜 짱잼 ㅎㅎ여주가 넘 멋지네요 ㅎ,1,1,99.7844398021698
1395,10,초반에 알면서도 깜짝놀라는 공포가 있는데 점점 유쾌해지며 미소짓고 있는 내모습을 발견 연인이든 친구든 재밌고 유쾌하게 보기 추천이요오늘 같이 영화본  사랑해,1,1,99.77923035621643
423,1,너무 반복이심해서 보는내내 지루해서 보다가 잠원래 영화볼때 절대로 안자는스타일인데 너무 지루함,0,0,99.90603029727936
472,1,진짜 알바새끼들 해도 너무하네재미없다 이런수준을 넘어서서 이딴영화를 만들어서 돈을 받다니 진심으로 너무하구나 싶더라속지마세요 정말정말 최악입니다 ,0,0,99.87230002880096
1477,2,별점실화냐진짜개노잼 포스터가 가장무서웠음밑도끝도없는 장르전환 어쩔내평생 최악의영화,0,0,99.87106919288635
206,1,지금 댓글 쓰는시간도 아깝다 알바쟁이야 정말정말 재미없음 밑에 댓글단사람들 낚시임 억울할꺼임,0,0,99.85932111740112
82,1,진짜 솔직히 이건 집에서 채널 씨지비로 볼만한 영화이상하진 않지만 돈 주고 보긴 아까운 스토리와 되도 않는 이상한 반전이 최악,0,0,99.85322952270508
5564,1,노잼 진짜 노잼 노잼 노잼 존나 노잼,0,0,99.84196424484253
224,1,정말너무 재미없는 영화유치하고 반전도 그닥 놀랍지는 않았던듯ㅜㅜ 돈아까움,0,0,99.83789324760437
5627,1,영화 자주보는편인데 평점 터무니없이 높다평점알바생이 진짜로 있었군반복되는 죽음 번째부터 지루함왜 죽음이 반복되고 반복되는지 전혀 이해불가내생에 최악의 영화로 다섯손안에 꼽힘내용도 형편없었다,0,0,99.83288645744324
4538,3,이거 평점 왜케 높음 범인 뻔한 스토리 돈은 완전 안들었을듯 보다가 완전 짜증났다,0,0,99.83014166355133
61,1,엄청 무서운 것도 그렇다고 엄청 웃기지도 않다 이도저도 아닌 영화 개연성도 없고 뜬금없는 내용 나름의 반전이 있긴한데 그렇다고 대단한 반전도 아니고 결말이 너무 허무함,0,0,99.82860088348389
