,review,score,label,pred,prob
0,색다른 장르의 스릴러처음부터 끝까지 긴장의 끈을 늦출 수 없게 만드는 근래 보기 드문 수작스릴러 좋아하는 이들에게 강추,10,1,1,99.76555109024048
1,정말 재미있게 잘 봤습니다 긴장감 최고 영화는 보고싶은데 딱히 볼만한게 없어서 봤는데 코로나라 명있어서 더 집중해서 재미있게 잘 봤어요 연기력 짱,9,1,1,99.72009658813477
2,처음부터 끝까지 긴장을 놓을 수 없는 최근 본 제일 재미있는 영화였어요 강추,10,1,1,99.687659740448
3,기대안하고 봤는데 너무재밌고 긴장간 쵝오,10,1,1,99.67190027236938
4,세상에 너무 재밌다 여주 연기 굳굳 은근 반전도 있고 스릴 있고 완전 내 스타일 영화네ㅠㅠ 강추,10,1,1,99.66493844985962
5,와 요근래 봤던 영화중 최고였어요 스릴러 좋아하는데 진짜 스릴있고 공포감 들게 연출한거 다 좋았고 연기도 좋았습니다 추천추천,10,1,1,99.65580701828003
6,매우 재밌네요 간만에 재미있는 공포영화봤습니다 반전이 굳굳,9,1,1,99.6544599533081
7,너무 재밌어요 보는 내내 긴장감과 스릴감이 지금까지 본 공포 영화중에 제일 재밌네요,10,1,1,99.62732791900635
8,와 그냥 진짜 스릴 반전 대박이네 ㅋㅋ 하 사운드가 미첬어요 ㅠㅠ 소름끼친다 진짜 감독님 최고에요,10,1,1,99.62668418884277
9,웬만한 귀신나오고 난리치는 영화보다 훨씬 스릴있고 재밌네요 진짜 간만에 와진짜재밌네 영화끝나고도 계속 말하게 되는 몇 안되는 영화를 봤어요 꿀잼,10,1,1,99.61727261543274
10,사운드로 공포감을 조금불러일으키긴하지만 도저히너무지루해서결국저는보다잠들었고남편은끝까지보긴했지만 재미없었데요,1,0,0,99.91545081138611
11,진짜 개지루히고 말도안대는상황전개에 개억지스러운 내용이다 보는내내 어느하나 말된다는게없었다 개연성하나없고  년 년 모든영화중 제일최악,2,0,0,99.91422295570374
12,너무 재미없습니다   으로 봤는데 돈시간 다 아깝네요,1,0,0,99.9131977558136
13,괜찮다는 평들이 의외로 좀많길래 봤는데 씹노잼 개연성 루즈함 ㅋㅋㅋㅋ 알바들 개많네 ㅋㅋㅋ 처음부터 끝까지 노잼,2,0,0,99.90027248859406
14,그냥 완전별로임 시간낭비,2,0,0,99.89894032478333
15,아니 진짜 여기 평점 속지마세요 ㅈㄴ지루하고 돈이랑 시간날리고 싶은사람만 보세요 진짜 ㅈㄴ아까워,2,0,0,99.87225532531738
16,왜 이게 위인지 평점이 높은지 애매해요 그냥 빌런이 투명인간 수트 입은 영화 공포 부분은 초반에만 그런데 그마저도 음향으로만 시끄럽게 치고 나올뿐 전혀 무섭지 않아요 겟아웃 기대하고 가면 완전 실망할거,1,0,0,99.87024664878845
17,감상포인트를 정할게 없는데도 정해야 되는 어처구니 없는 시슽템이영화는 배우들은 연기도 엉망이고 투명인간이 이렇게 어설퍼서야 의미가 없지 않나 연출도 엉망 각본도 엉망 봐줄래야 봐줄수가 없다점도 아깝다,1,0,0,99.86906945705414
18,이건머초반잠깐만 긴장감있고 나머진어벤져스에 합류하려나 했음그냥 시간낭비,2,0,0,99.86784160137177
19,진심으로 노잼임 돈주고 보기 아까움,2,0,0,99.86272752285004
