,review,score,label,prob
4706,진짜 보고나서 멍해졌어요 감독님 천재예요ㅜ 저는 무서운것보다 긴장감을 계속 가지고 가게되는 영화 인 것 같아요 배우 분들 연기력 대박ㅜ ,9,1,99.94449615478516
5950,두시간동안 심장이 너무 쿵쾅거려서 죽는 줄대놓고 무섭다기보단 사람 심리를 진짜 꽉 쪼이는 기분 너무 무서웠고 소름끼침ㅜ ,10,1,99.94369149208069
2973,겟아웃 재밌게 봐서 정말 기대 많이 하고 봣고 스토리도 음악도 다 너무 좋았다 평이 극명하게 갈리네난 너무 재밌게 봄 ,10,1,99.93608593940736
5984,관람객지루함의 틈도 없이 너무 재밌게 몰입하면서 봄  스토리가 아주 굿굿 ,10,1,99.93479251861572
4550,굉장히 잘만든 영화무섭고 지루할틈 없음마지막 반전이 압권이었음 ,10,1,99.9342679977417
2366,와우 완전 스릴 넘쳐요 여친이랑 보기 좋을거 같에요 굳굳 ,10,1,99.92820024490356
5774,와우 겟아웃이랑 비슷하지만 또 다른 재미가 있었던 너무 잘 봤어요 저는 가히 스릴러 계의 타란티노라고 말할 수도 있을 거 같네요 너무 잘 만들었고 특히 영화 음악도 너무 좋았어요 대박 추천,10,1,99.9237596988678
5563,음악이며연기며 영상이며 모듀 빠져들어 관람했어요 관객수가 너무 적어 아쉬울뿐이네어 ㅜ몰입도는 정말 최강입니다 ,10,1,99.91894960403442
4194,영화 기대 하고 봤는데 스릴넘치고 영화 해석 하는것도 엄청 재밌네요 무조건 보세요 최근 본것중 제일 재밌음 빨리 탄 나오길 기대합니다 ㅎㅎ그냥 재밌음 ,10,1,99.91288185119629
5859,겟아웃보다 난 더 좋았음 많은 의미를 담고 있는 영화 깊게 생각하기 싫은 사람들은 불호이겠지만 음악부터 장면 구성까지 재밌었음ㅜ ,9,1,99.90909099578856
397,개연성이고 이런거 다 떠나서 재미가없다 재미가 반전도 이게 반전이냐 딱보고 알겠드만 뭐 더 할말도 없고 걍 영화가 재미가 없다 재미가인내심 좋으신분만 보내세요 정말 재미없습니다 ,2,0,99.96061623096466
302,난별로노잼 졸렸음 후반부 말로 다 풀어가는거 너무 지루했음 ,1,0,99.95398223400116
4243,복선이고 반전이고 개연성이 너무없어서 영화 보는 내내 너무 납득이 안된다 힘들게 살았으면 쓰래기처럼 행동해도 된다가 감독이 말하고싶은건가 ,2,0,99.95177984237672
3491,존나 재미없음 감독이 전작 뽕에 취해 하고싶은 거 다 한 과한 선전 선동영화 ,1,0,99.94739592075348
5364,관람객처음부터 끝까지 너무 지루했음 반전이 있는데 넘 지루해서 반전마저 지루했음 해석을 찾아야 한다는데 해석을 찾아보도 감흥이 없었음 ,2,0,99.94717240333557
92,관람객존나 재미없어요이렇게 막 만든 영화는 없었음돈주고 보기 아까움  그림자가 나타나 죽이는게 다임흑인 스릴러개나줘버림 ,1,0,99.94536638259888
44,개어이없음 ㅡㅡ 돈 아까움 내 인생 최악의 영화임 ,1,0,99.94488954544069
1673,장난하나 지금 공포도 아니고 스릴러도 아니고 그렇다고 코믹하지도 않고중구난방 총체적 난국인 영화 ,1,0,99.94388818740843
3920,재미도 없고 남는 것도 없는 영화 반전스럽지도 않은 허접한 반전에 억지 웃음 유발 미안하지만 한심한 영화였다 ,1,0,99.94134306907654
2306,공포영화인줄 알고 갔다가코믹영화로 전략이건 뭐지 이렇게 지루함을 느낀건 ㅎ이해불가 ,1,0,99.94119703769684
