,score,review,label,pred,prob
666,10,아름답다 공포영화가 이렇게 아름다워도 될까 싶을정도로 시각적으로 아름답다 게다가 이병우감독의 노래까지 더해져 분위기는 절정으로 이끌고 임수정 문근영 캐스팅 또한 너무 적절하다 보고나면 계속 여운이 남는 느낌있,1,1,99.75496530532837
947,10,언제봐도 새로운영화정말 좋았어요수정언니너무예뻤고 특히 근영언니완전귀여움ㅎ,1,1,99.74364042282104
288,10,무섭다기보단 너무 슬펐습니다 어렸을 때 봤는데 그때부터 공포영화 하면 제일 먼저 떠오릅니다 연출 너무 좋아요 ㅠㅠㅠㅠ,1,1,99.73963499069214
206,10,년된 영화지만 음악도 영상미도 국내영화 중에선 최고라고 생각함 몇번봐도 안 질리는 매력이 있음 오늘 오랜만에 다시 봤는데 울컥 눈물나서 검색해봄 특히  진짜 신의 한수,1,1,99.73424673080444
610,10,년이 지나도 여전히 가슴먹먹해지는 영화공포영화를 싫어하지만 이영화는 매년마다찾고 보게된다  내인생작품 염정아의 소름끼치는 연기가 아직도 기억에 남는다,1,1,99.7296154499054
671,10,정말 최고정말정말최고엔딩에서의 음악과 장면은 정말 최고였다,1,1,99.72879886627197
353,10,배우들의 연기와 화면연출 그리고 음악 영화과 끝나자마자 다시 보고싶게 만드는 소름돋는 반전니 진짜 하이 영화 한 다섯번은 봣는데 갑자기 또 보고싶어서 오늘 한 번 더 봤음 다시 봐도 좋다,1,1,99.7221827507019
155,10,오랜만에 다시 봤는데 복선부터 반전까지 정말 소름돋음ㅠㅠ 내 인생영화ㅠㅠㅠ,1,1,99.7210443019867
1020,10,진짜 최고다 완전 한국공포영화중의 최고 완전 대박,1,1,99.71556663513184
411,9,슬퍼서 더 무섭고 여운이 길었다 다시 생각하면 할수록 더 진해지는 여운 혐오감없이 심리적으로만 공포를 극대화해서 좋았고 영상이 아름다워서 좋았다,1,1,99.71072673797607
2541,1,존나 지루하다 이건 팩트다 존나 지루하다,0,0,99.82499778270721
2523,4,평점이 하도 높아서 무서운 공포 영화를 기대하고 봤는데하무섭긴 개뿔 그냥 안타까운 새드 스토리공포 영화 모름이거 왜 평점이 이리 높아시간 아깝다,0,0,99.8154729604721
2336,3,지루하고 엉성하기 짝이없다 임수정의 발견은 그나마 다행이다,0,0,99.78645145893097
2545,2,노잼 시간 날렸다ㅡㅡ,0,0,99.78501200675964
2564,2,최악입니다 이런 영화는 사라져야함 평점 알바가 많군요ㅡㅡ,0,0,99.77459013462067
2484,3,노잼시간 잠이나 잘걸,0,0,99.76634979248047
2498,1,개노잼입니다 절대모지마세요,0,0,99.72659349441528
2279,1,무슨 내용인지 모르겠어요  돈만 날린것 같아요,0,0,99.69381093978882
2532,1,졸면서 봤다 왜이리 평정이 높은겨  내용도 별거 없고 아오 감수성 영화냐 이거,0,0,99.64324533939362
2527,1,왜 이리 점수가 좋지  어제 다운 받아 봤는데 줄거리가 뭐가 뭔지 알수도 없구 무섭지도 않구 드럽게 재미 없던데,0,0,99.63722229003906
