,score,review,label,pred,prob
460,10,스토리 반전 구성이 이렇게 탄탄한 한국 공포영화는 정말 처음다시 봐도 감동그리고 공포에도 충실합니다 강추,1,1,99.81870651245117
227,10,처음볼 땐 공포영화 두번째로 볼 땐 영상미가 아름다운 영화 세번째로 볼 땐 시리도록 아픈 사랑영화 특히 두번째 에피소드 엄마귀신은 처음엔 무서워서 몰랐지만 그 어떤 사랑보다 위대한 모성애를 그리고 있더라ㅠ 이,1,1,99.78943467140198
1887,10,여태본영화중최고최고 무섭고 슬픈스토리랄까 암튼최고,1,1,99.783194065094
1061,10,소름끼치는 오싹함도 있고 가슴찐한 감동도 있고 아쉬운 듯 여운도 남는 강추에요,1,1,99.78210926055908
758,10,진짜아름답고쓸쓸한공포영화ㅎㅎ하지만엄마귀산은진짜무서웠음 ㅎㅎ,1,1,99.77098107337952
177,10,이런 명작을 년이 지난 지금에서야 보다니영화 클래식이 있다면 공포엔 기담이 있다 수작중 수작,1,1,99.76259469985962
1788,10,이영화처럼 보는 내내 계속 두근거리게하는 영화도드물텐데정말 재밌어요ㅎ,1,1,99.73773956298828
109,10,정말 최고다 무서우면서 아름답고 묘하고 영상도 음악도 배우들도 모든것이 정말 멋짐,1,1,99.72612857818604
1230,10,별개를 주어도 아깝지 않은 웰메이드 공포멜로영화 숨은 수작,1,1,99.72362518310547
176,10,최근에 처음 봤는데 무섭기도 정말 무서웠지만 분위기가 너무 아름다웠어요한 번 보면 잊혀지지 않는 영화고 정말 수작이네요,1,1,99.70512390136719
3220,1,최악의 영화 별 개 주기도 아까움 돈이 이렇게 아까울수가,0,0,99.86624121665955
2498,2,와다완전 이밑에있는 사람들  알바잖아 정말시간돈 모두 아까운영화정말 최악,0,0,99.85014796257019
3994,2,이 영화는 반전을 기대한 거 같다 근데 반전이 없다 재미 자체가 없고 지루한데 무슨 반전을 느낄 수 있단 말인가 공포영화가 무섭지도 않고 시간을 넘겨도 뭘 말하고자 하는지 알 수도 없고 본 시간이 아까워서,0,0,99.84498918056488
3970,1,인생최악의 개쓰레기 영화기승전결도없고 진짜 역대최악의 쓰레기영화백원도 아까움,0,0,99.8446524143219
3160,2,나는 왜이렇게 재미없었을까 잘 만들어지긴 했으나 나의 이해도가 너무 부족,0,0,99.84320998191833
3983,2,음악이 쓸데없이 시끄럽고 내용은 유치하다 배우들의 발연기 뻔한 내용 시간이 아까운 영화,0,0,99.83624219894409
1244,1,정말 별로 스토리도 엉성하고 장화홍련 보는듯하는 짜증스러움의 극치,0,0,99.83572661876678
1013,1,별 반개도 아깝다 킬링타임으로도 최악의 영와 퉷,0,0,99.83314871788025
3236,1,공포와 스토리 모두 없음 어익후 진짜 지루했음 태어나서 본 영화중 최악,0,0,99.82940256595612
3874,1,개 극 노잼 썅노잼 시발노잼 개극노잼 어휴노잼,0,0,99.82505142688751
