,review,score,label,pred,prob
0,와 살면서 이렇게 소름돋는 영화 처음보네요 정말 강추합니다,10,1,1,99.52216148376465
1,지금까지본 공포영화중 제일 멋진공포영화ㅋ진짜꼭봐요재밌어ㅋ,10,1,1,99.45584535598755
2,스토리 좋고 공포영화의 최고봉 공포 좋아하지만 이건 너무 무섭잖어 완전 소름 강추,10,1,1,99.40826892852783
3,정말 최고다 긴장감 지존임평점이 너무 낮네,10,1,1,99.40040111541748
4,고때 개봉해서 비디오로 본영화인데 지금와서봐도 태국역사상 가장 최고의 명작 공포영화라고생각한다 스토리완벽 공포완벽 태국최고의 공포영화,10,1,1,99.3564248085022
5,나 고등학교학년그러니까 년전에 나온 영화인데 학교에서 틀어준적이있어서 다 안다고 생각하고 봤는데 레알 교감신경 흥분하여 소름 세번이상 돋음저에겐 전개와 내용 시각청각 까지 모두완벽한 최,9,1,1,99.28610920906067
6,애나벨보고 나니 제 인생공포영화인 셔터가 생각나서 검색해봅니다 진짜 너무너무 무섭고 재밌는영화예요,10,1,1,99.23728704452515
7,최고의 공포영화여자귀신생각만하면ㅠ진짜 소름돋음,10,1,1,99.1590678691864
8,이번 여름 공포영화중에 진짜 볼만한 영화임 강추 ㅎ,10,1,1,99.10327196121216
9,진짜 무서웠어요 ㅠ 태국 영화는 처음 보는데 이런 고급진 공포 영화로 접하게 되어서 정말 재미있게 잘 봤어요 친구들이랑 보는데 마지막에는 무서워서 다들 할 말을 잃었어요 정말 최고의 영화 이런 여름 밤에 보면 ,10,1,1,99.1032361984253
10,어설픈 스토리 허접한 귀신 주인공 모두 꽝,3,0,0,99.87469911575317
11,재미도 하나도없고 시시하고 뻔하고 놀래키는장면만 많고이런영화 진짜별로 보다끄고 지웠음 ㅡㅡ,1,0,0,99.84887540340424
12,존나잼없어 돈아까워 아존나짜증나 점수주는것도아깝네 ㅡㅡ,1,0,0,99.84829425811768
13,하도 무섭다길래 봤는데 여친은 보다 잠들고저도 결국 반밖에 안보고 끔툭하면 꿈이고 개연성도 부족하고 귀신도 안무섭고 너무 지루하네요잔뜩 기대하고 봤다가 시간만 버림,1,0,0,99.83032047748566
14,별주기도아깝다개재미없어이걸무섭다고쓴사람은고사보고지린건가,1,0,0,99.8035579919815
15,무서운 영화 좋아하는데진짜 너무하네하나도 안 무섭고 심지어 보다 졸았다 귀신만 불쌍함 스토리는 서프라이즈에 나올법 한 딱 그정도 시간이 아깝다,2,0,0,99.79623854160309
16,내가 기대를해서그런가 솔직히 재미없었는데 그냥 소리만 웅장하고 갑툭튀에 내용도 참 뻔하디뻔한내용이고 뭐가공포인지도모르겠고뭐가무섭다는건지 정말 무섭다길래 기대해서봤건만 그냥뻔한 삼류공포영화여서 실망,1,0,0,99.7917652130127
17,줫나쓰레기같다진부한 스토리에 엉성한 연출깜놀사운드의 남발까지똥을 줬어,3,0,0,99.78685975074768
18,대체 뭐가 무섭다는건지 ㅡㅡ 재미 하나도없고 지루하고 귀신이 사다리 거꾸로 내려올때 존나 웃겼다 거미인줄ㅋㅋㅋㅋㅋ 걍 어이없는 쓰레기 ㅡㅡ,1,0,0,99.7688502073288
19,정말 약하다 일본 공포에 비해 재미없다,2,0,0,99.76434111595154
