,score,review,label,pred,prob
112,10,이영화보고 제임스완 작품 다 서 봤다크 내스타일 마지막 반전에 난 소름이 쫘악  이거보고    까지 연다라봤는데 인시디어스 도 명작인듯 완전 재미있어,1,1,99.75488185882568
563,10,와말이 필요없이 정말 대단하다고 생각한다 특히 반전이 대박 아닐까진심 소름돋고진짜 짱,1,1,99.75216388702393
145,10,공포 영화 좋아하는데 편 이렇게 재밌는 공포영화 처음 봤음 소름끼치게 무섭도록 연출 그리고 연기도 너무 재밌음원래 제임스완 팬인데 이거보고 더 좋아졌음 진짜 진짜 꼭 추천 ㅋㅋㅋ,1,1,99.74024295806885
1770,10,아 진짜 간만에 등골 오싹하고 스릴 넘치는 영화봄 스토리도 탄탄하고 잘 만들었다 강추,1,1,99.73241090774536
942,10,최근 년간 본 공포영화 중 긴장감 최고 반전도 최고,1,1,99.71861839294434
1748,10,평점이 왜 이렇게 낮지 진짜 재밌게 봤음 오랜만에 오싹한 느낌 ㅎ,1,1,99.7165858745575
1539,10,인시디어스 시리즈 중 제일 재밌다 마지막 반전도 굿,1,1,99.7016429901123
601,10,고전공포물이라해서 기대 안하고 봤는데 생각보다 훨씬 재밌음 반전도 짱이고ㅎㅎ,1,1,99.69723224639893
1792,10,미국판 아빠어디가임 ㅇ 내인생의 최고반전영화 강추합니다요,1,1,99.68523383140564
1007,10,이거 진짜 재미있어요 오늘 학교에서 봤는데 반전쩌름 꼭보셈 굿,1,1,99.66504573822021
1817,2,이런 개 졸작이 뭐가 무섭다고 음향효과로 놀래키는구만 자세히 보니 악마도 엉터리 분장이고 무슨 손톱 다듬는것도 웃기고 컨저링은 아직 안봤지만 이건 최악,0,0,99.89548027515411
1017,1,너무재미없어서 일시정지했다가 다시 꾺 참고 끝까지 봤는데이건 뭐라 평가하고싶어도 못하겠다내 밑에 있는 알바글을 보니 웃음밖에 안나오네ㅋㅋㅋ여러분 제발 낚이지마세여 별 반개주기도 아까운 영화,0,0,99.8558908700943
1839,1,점도  아깝다 모두 알바세요 아 진짜 짜증나네,0,0,99.83394145965576
1673,1,평점이 이리 높다니 보다 화가 날 정도입니다 한마디로  전혀 공포스럽지 않은 영화예요 간만에 공포영화를 즐기려 하였던 저로선 완전 실망입니다,0,0,99.79593753814697
1813,4,공포영화중 최악으로 재미없고 지루하고 무섭지도 않고  이거볼 시간에 차라리 컨저링이나 라이트 아웃을 보세요,0,0,99.785116314888
1795,3,노잼 첨에는 흥미로웠으나 끝으로 갈수록 유치했음,0,0,99.78346824645996
1820,1,그냥 노잼 이런거 만들돈있으면 나나주지ㅡㅡ,0,0,99.77247416973114
1281,4,유치한건둘째치고 스토리전개가 뚝뚝 끊어지는 느낌뚝뚝 끊겨서 몰입이잘안되네,0,0,99.76320266723633
1636,1,개인적으로 국내와 해외 공포영화는 총말라 하고 다보는 사람인데요 이건 최악의 공포영화네요 이걸 무섭게 보신분들은 대체 차라리 우리나라 폐가 가 더났겠네요 이건머 분장에  어설픈,0,0,99.76159036159515
1823,1,드럽게 지루하네 진짜 퇴근후 보는 시간이 아깝더라,0,0,99.74676668643951
