,score,review,label,pred,prob
1976,10,오랜만에 몰입도 최고였던 영화 강추,1,1,99.80483055114746
1508,10,흑인들의 삶에 대해 한번쯤 생각해볼 수 있는 영화 위트있고 유머러스해서 더 좋았습니다 친구의 감초 연기 굿,1,1,99.76296424865723
442,10,처음남깁니다 근래 본영화중에 최고였습니다 대박입니다ㅎ,1,1,99.75779056549072
1599,10,진짜 오랜만에 접한 수작 미국 사회의 단면을 그대로 보여줌 마지막 친구만났을 때 가서야 숨 쉴 수 있었음ㅎ,1,1,99.72584843635559
253,10,번 봤는데 볼때마다 지리네 다시 보니 처음 볼때 놓쳤던 복선들을 볼수 있어 너무 좋았음,1,1,99.7118353843689
193,10,내가봤던 영화중에 제일 소름돋았던 영화인거같다 새벽이라그런것도있겠지만 보고나서 복선들찾아보니깐 번소름돋았다,1,1,99.71106052398682
1978,10,오래간만에 손에 진땀흘리며 봤다스릴러 영화 요즘 그게 그거라 이런 재미 느끼기 힘든데 간만에 수작,1,1,99.70700740814209
283,10,간만에 두손 붙잡고 긴장하며 봄 내용도 신선하며스릴 넘치고 쫄면서 본 영화 작지만 반전의 반전도 좋았음,1,1,99.69485998153687
1961,10,보는 내내 긴장감  최고ㅎㅎ,1,1,99.67046976089478
50,10,오펀천사의비밀영화 이후로 이렇게 반전있고 신선한 내용있는영화 오랜만이네요 재밌습니다 몰입도 짱,1,1,99.63961839675903
302,1,차원적인 영화의 끝판왕 스토리 최악 개연성 없고 돈 시간 모두 아까운 영화 다운받아서 보지도 마세요 시간아까우니까,0,0,99.83917474746704
464,1,별 한개도 아깝다 보지마세요 제발 노잼 개노잼,0,0,99.81589615345001
1494,1,진짜 별로던데 결말 완전 뻔하고 스릴 하나도 없고 왜 세인지도 모르겠고 완전 허무하고 내용 진짜 한줄로 요약할 수 있을 만큼의 단순한 내용이랄까 걍 노잼,0,0,99.80138540267944
622,1,솔직히 반전쩐다 재밌다 스토리가상상도못했다 하는데보는내내 진짜진부하고 크리셰명확하고 그냥절반쯤보니깐 나머지는각이딱나오던데 진짜 너무뻔해서 재미도없고 같이보자한친구들한테 미안할수준 진짜노잼,0,0,99.79865849018097
619,1,노잼 너무기대햇는데 돈아까움,0,0,99.796262383461
379,1,잼 없다ㅠ잠 온다 돈아깝다,0,0,99.78816211223602
1351,4,생각보다 노잼인게 반전 꼼꼼히 설치해둔 맥거핀들을 빼면 정말 별볼일 없는영화,0,0,99.75090324878693
1408,1,다들 극찬 일색인데 정말 재밌어서 자진 평점 써대는건지 진심으로 궁금합니다그냥 홍보글인지 수준들이 이 정도인건지여기 글보고 본 영화인데 낚인거같아 정말 짜증이 나네요꿈보다 해몽이라더니 어이가 없네,0,0,99.74913895130157
1396,1,알바 많이 풀었네 ㅋㅋ 뭐 이딴 영화가 점대야서론 시간 본론 분 정도 이정도면 영화설명 다 됏나 영화는 총 분타임참 어이없고 황당합디다 지루하고 한마디로 보지마세요,0,0,99.73791241645813
1440,1,별로였음보고 나서 기분 찝찝함 결말도 급 결말지은 것 같고 걍 별로,0,0,99.7142881155014
