,score,review,label,pred,prob
2982,10,나오늘봤는데 이거 대박대박대박대박대박 숨도못쉬고봄 ㅎㅎㅎ 대박추천,1,1,99.77772235870361
5295,10,난 그래두 재밌었어요  놀랄때마다 심장쿵쾅쿵쾅 결말도 여운남기면서 굿,1,1,99.7679352760315
4315,10,이제까지 봤던 공포물 중에서는 최고중 최고였음 현장감 긴장감 정말 최고입니다,1,1,99.67944622039795
3183,10,긴장감과 몰입도는 최근에 나온 영화중 단연 최고다,1,1,99.67066049575806
4441,10,진짜 대박 ㅠㅠ 보는 내내 손에 땀만나고 진짜 잼있어요,1,1,99.6653139591217
6232,10,부산국제영화제 개봉작 영화제에서 봤는데이때까지 본영화중 젤무서움 강추,1,1,99.66464042663574
3859,10,완전 최고 짧은것에 비해 정말 인상깊은 영화였음,1,1,99.65218305587769
4354,10,내나이년동안 이런 엄청난 공포는 처음이었다 특히 마지막엔딩장면 와우최고다,1,1,99.634850025177
1475,10,오오오 새벽한시에 불끄고 혼자보면 완전 강추 심리적공포대박ㅜㅜ,1,1,99.62626695632935
4118,10,대박대박가슴졸이면서 보는 대박영화이런공포너무좋아,1,1,99.6141791343689
6830,1,장난하나  진짜 최악인데  제가 공포 매니안데  완전 재미없네,0,0,99.8747169971466
1591,1,최악의 영화 제가본것중에 최악의 영화입니다,0,0,99.86602067947388
4767,1,감독이 유명해서 봤는데 진짜 쓰레기 영화입니다 영화표가 정말 아깝습니다,0,0,99.86260831356049
4220,1,내인생최악의자루하고재미없고극장을뛰쳐나가고싶게만든영화관람시간이아까웠습니다,0,0,99.8570442199707
5247,1,진짜재미없어요이건뭐공포도아니고하나도안무서움 진짜최악,0,0,99.85092580318451
6846,3,평점 보고 본건데 너무 실망이네요무서운거 좋아하시는 분들에게는 비추 너무 지루하네요,0,0,99.84878599643707
3628,1,진짜 최악 ㅋㅋㅋㅋㅋ 이렇게 재미없는영화 처음 ㅡㅡ,0,0,99.84118640422821
1416,1,실화 아니라서 점은 무슨 점도 아깝다    앞부분 너무 지루해,0,0,99.84088838100433
1062,1,진짜 이렇게 돈아까운 영화는 처음이다ㅡㅡ시간아깝고 돈아깝다,0,0,99.83785152435303
5319,1,알바 쩐다 평점에 속으시면 안되요 돈아까운건 말할것도 없고 시간조차 아까움,0,0,99.83774423599243
