,score,review,label,pred,prob
211,10,와 더이상의 색다른 공포영화 컨셉은 안나올줄 알았는데색다른 소재이면서 엄청 무섭네요  꼭 보세요 여러분 강추 합니다,1,1,99.73159432411194
135,10,요즘 공포영화 다 재미업ㄱ는데 오랜만에 만난 무서운영화 특히 그 마지막 노래부르는건 진짜 소름중에 소름이였다 마지막까지 무서웠던 영화,1,1,99.68181848526001
413,10,스토리 탄탄하고 무서운 영화는 기담이라 생각했는데 제인도 짱입니다 무서워요 영화관에서 보고 최근에 또 봤는데 짱,1,1,99.63473081588745
351,10,대박 무서움 엉엉 ㅜㅜ긴장감 최고임,1,1,99.51366186141968
34,10,식상한 공포물을 벗어난 간만에 신선한 공포물현실적이라 더 무섭고 새로운 소재라 더 신기했어요아름답고 무서움 ㅠㅠㅠ 아 너무좋아 하루종일 여운이가는 영화,1,1,99.46036338806152
516,9,소재도신선했고 충분히무서웠지만 마녀에대한설명이 극중에 더 녹아 설명이 가능했다면 더욱재미있었을것같습니다,1,1,99.45839643478394
382,10,완전 신선하게 무서워요 특히 중간중간 나오는 노래 완전 소름끼쳐요ㅜㅠ,1,1,99.45187568664551
821,10,태어나서 본 영화중에 가장 무서웠다 진짜 강추,1,1,99.44640398025513
598,9,부검 할때는 진짜 긴장감 최고고 오히려 공포스럽게만든 긴박한 장면이 좀 지루해서 점 뺌 하지만 마지막에 근 몇년간 돋을 소름 다 돋은것같음 최고,1,1,99.43695068359375
1068,10,최고의 설정과 영상미 그리고 노래는진짜 잊혀지질않는다 공포영화중에 정말잘만든영화 베스트 위안에 듬,1,1,99.4020938873291
325,1,뭐가 재밌다는거지 현실성없는 이야기ㅜㅜ 재미없또 무서운거도 하나도없고 집에서 혼자봤는데 최악임 내시간 돌려줘,0,0,99.84508752822876
783,2,죽은시체 사인 밝혀주려하는데 산 사람 다 죽여 버리네결말 허무하고 시간 아까움 아 돈아깝다,0,0,99.82806146144867
1044,1,핵노잼ㅋㅋ정말 돈아까운 영화 파라노말 액티비티 수준이네요 팝콘은 맛남,0,0,99.79541599750519
1107,1,개노잼 진짜 장르가 뭐인지 내용ㅇ 뭐인지 모름 개노젬 보지마셈 돈아까움 ㅡㅡ,0,0,99.78848695755005
267,1,이런 영화가 평점이 너무 높네요 시간 낭비임,0,0,99.78504180908203
369,1,시작부는 흥미진진했으나 중반부부터 너무 재미없음  개인적으로  시간 아까웠네요,0,0,99.78362023830414
827,1,겁나 실망이었음 진짜 재미없음  무섭지도않고  아오 괜히봤어,0,0,99.75730776786804
1147,1,여기 평점이 좋아서 결제해서 봤는데 참나 졸리고 지루하고 재미없다 진짜 돈아깝다,0,0,99.75709319114685
823,1,노잼  이건 뭐 개연성도 없고 그 여자가 어떻게 죽었는지알려주지도 않고 갑자기 귀신되더니 주인공만 괴롭히다가 끝남 ㅡㅡ  시간만 날렸네,0,0,99.748495221138
430,1,영화보고 처음으로 평점남김 다 댓글 무슨생각으로 이게 점대 영화라니 개연성 도없고 그냥 삼류 공포영화 무섭지도않고 재미도없고,0,0,99.72798824310303
