,review,score,label,prob
2313,방금 보고 나왔는데 정말 재밌네요 배성우와 성동일 둘 다 연기력 너무 좋아요 ㅎㅎ ,10,1,99.95222091674805
215,와 오랜만에 신선한 공포영화였다 배우분들 연기 너무 잘하시고 재밌음 한 번쯤 보시는 거 추천 ,10,1,99.94629025459291
5997,진짜 너무 재밌었어요 국내 공포 영화 중에 제일 무서운 거 같아요 진짜 짱 ,10,1,99.94495511054993
5146,스포일러가 포함된 감상평입니다 감상평 보기정말 잼나게본영화제가퇴마로하는영화좋아하는데짐도 몇번씩볼정도로넘잼나요 ,10,1,99.94230270385742
416,대박  생각보다 스릴있네요 너무너무  재미있어요 진심  강추합니다 ,10,1,99.93699789047241
7623,진짜 재밌네요 연기 잘하는 배우들 나오고 질리지 않고 끝까지 최고예요 ,10,1,99.93675351142885
4441,엑소시즘 영화 중에서 가장 최고입니다 다른 영화에 비해서 가장 현실성 있어서 훨씬 좋았어요 근데 진짜 무서워요 가족간의 분노에 대한 주제도 다루고 있어서 교훈적이에요  강추 ,10,1,99.93317127227785
82,한국판 엑소시즘을 다룬 영화중에 기승전결이 확실하고 심리적으로 뒤흔드는 배우들의 연기도 너무너무 볼만했습니다 올해 끝여름에 나온 영화중에 가장 재밌었어요 한국판 엑소시즘이나 공포영화를 좋아하신다면 추천해요 ,10,1,99.9304711818695
7855,관람객영화를 보는 내내 긴장감을 유지할 수 있는 요소들이 많이 있었으며 반전의 반전을 거듭하는 순간마다 감탄을 금치못하며 보았습니다 강추강추 또 강추입니다 ㅎ ,10,1,99.93020296096802
6135,안보면 퍼 후회합니다 꼭 보세요 ㅠㅠ아 진짜 몰입도 최고최고ㅠ 완전 재미있음 ,10,1,99.92983341217041
7369,진심 사자보다 별로 평소 이런류의 영화 늘 챙겨보는데 가장 최악 결말도 최악이고 중간부터 뛰쳐나가고 싶었는데 돈아까워서 봄 얼른 다 죽고 끝나길바랬음 ,1,0,99.9600887298584
4934,최근 본 영화 중 가장 최악이었다 공포도 없고 개연성도 없고 대체 뭐를 보여주고 싶었던건지배우들 연기력이 아까웠다 ,1,0,99.95285272598268
8666,역대 최악인영화차라리 검은사제들을 두번보겠다별하나도 아까움 ,1,0,99.95112419128418
301,연출너무 못했어요 억지스럽고 개연성이없어요 무엇을 위한것인지 전혀 모르겠어요 평점진짜오랫만에적는데 진짜비추요 ,4,0,99.94962811470032
8333,돈이 너무 아까워요 무엇보다 너무 허술하고 그냥 보면서 계속 찝찝하고 기분 나빴던 영화 ,2,0,99.9493807554245
5311,재미가 없다 ㅠㅠ 성인배우들은 연기를 잘해서 그나마 볼만한데 아역들은 왜케 못하냐  집중해서 보다가 집중력 떨어짐 ,2,0,99.94644820690156
1968,초반 분정도 빌드업은 좋았지만 중반이후 부터는 몰입감이 떨어짐 의미없는 씬들도 많고 그리고 외국어를 굳이 써야 했는지 그거 쓰니 더 몰입감 떨어짐 그리고 주변 배경들도 좀 억지스러움 아궁이ㅡㅡ,4,0,99.94524717330931
6463,이거 평점좋아서 봣더니 이건머완전 대실망ㅜ돈아까븜무서운것보단 징그럽기만한 영화재미도없고 내용자체도 구리고지루해서 잠올뻔다른 구마 영화드라마 다봤는데 젤 허접했음 ,1,0,99.93900060653688
2975,너무 엉성하고 허술하다연출로 놀래켜야지 사운드로 놀래키기 너무 진부하다 ,2,0,99.93887841701508
4142,재미ㅈㄴ업내 사자가 훨씬재밋다 이건뭐 초반에쪼금몰입되고  너무지루함 ,2,0,99.93635714054108
