,review,score,label,prob
71,기대했던거 만큼 만족스러움ㅎㅎ 영화가 주는 긴장감이 좋았당ㅎ ,10,1,99.93039966
725,한여름에 딱어울리는 영화입니다 놀랍고긴장감넘치고 재밌었어요 스릴만점입니다 꼭보세요 극중배우들 연기도 너무좋았어용 강추강추 ,10,1,99.9240756
880,친구가 별로라고 했는데 난 생각보다 너무 재밌게 봤다ㅋㅋ 호불호가 갈리는거 같지만 난 되게 재밌게 봄 ,10,1,99.92316961
34,관람객평이별로여서재미없나하고봤는데전너무재밌게봤어요조스가무서운것보다시야도확보되지않고산소도부족한상황에서의공포가얼마나무서운지가족명이서봤는데아이들도어른들도너무재밌게봤어요끝에반전도좋았네요 ,9,1,99.92069006
33,정말 엄청나게 재밋는 영화입니다 개인적으로 평점이 너무 낮네요 영화 전문가의 견해로 점 정도가 적절한 영화라고 봅니다 빨리 덩케르크 보고 싶네요 ㅎㅎ ,10,1,99.9158442
1428,기대안한것 치고는 꿀잼인데 오랜만에 온몸에 소름 돋았다 ㅋㅋ ,10,1,99.90611076
559,긴장감  몰입도 짱  완전 잼있는데 반전도 맘에 들고 스릴 장난 아님 완전 잘 봄 ,10,1,99.90481138
838,심장 쫄깃해요한여름 공포영화로 짱인듯바다속의 한치앞도볼수없는 어둠과 깊이만으로도 숨죽이고보게돼요올여름 첫 공포영화로는 선택 잘한거같아요재미있게 볼만한 영화에요 ,9,1,99.90156293
1690,맨마지막에  인상깊었고 스릴넘치고 너무재밌었어요 또 보고싶게 되는 영화인것같습니다 ,10,1,99.90127087
1377,관람객스릴있고 지루할틈이 없었어요 ㅎㅎ이런영화좋아하는데 언더워터보단 약간 못하지만 나름 굿 ,10,1,99.89970922
1671,주기도아까운영화 진짜 세상 제일 노잼 ,1,0,99.91101027
1959,산소도 없다면서 시끄럽게 계속 떠들고 굳이 상어를 보겠다고 거기까지 가고 하기 싫다는 친구 계속 졸라서 하고 진짜 짜증유발자들 차라리 빨리 둘다 죽었으면 좋겠다는 생각을 할정도 ,2,0,99.90965426
1503,에휴 언제까지 쌍 팔년도식 죠스 언더워터 따위 우려묵을래 무 뇌 충 감독들아 ㅉㅉㅉ ,1,0,99.90409911
828,내 소중한시간이 영화 안보는게 시간을아끼는길 초저예산답게 졸작인데 제작비대비 돈 엄청벌었네ㅡㅡ ,1,0,99.89432693
2052,핵노잼이다 알바들한태 낚이지마라 ,1,0,99.89079237
1673,개노잼 ㄹㅇ노잼 원공중분해 영화보고이렇게빡친적은처음이다결말이 ㅈㄴ허무하고 스토리도상어만개튀어나오고그냥 보지마세요 ,1,0,99.88978207
1905,상어도 별로안나오고 잠깐잠깐 나오고  재미없었어요  상어도 너무 가짜 티가나고  스토리도 별로 없고 반전결말도 반전같지도않고 영화보는 도중에 누구나 예상할만한 반전이고 진짜 별로에요 ,2,0,99.88977313
446,별반개도 아깝네요 여기 댓글 알바들만있나요 진짜 별로였습니다 ,1,0,99.88824129
1924,티비로 천원에 봤는데도 돈 더럽게 아까움 예고편이 다임 상어 나오는거  기대하고 봤는데 핵실망 심해판 저질 그래비티임 ,1,0,99.88164902
1670,영화가 감흥도 업고 재미도없고 영화 왜 만든지 이유가 궁금할정도로 재미가 없다 ,1,0,99.8801887
