,review,score,label,prob
11572,진짜 무서우면서도섬뜩하고 소늠끼치는내용곤지암호사람들이호사람들이호사람들이호사람들이 반복되는거겁나섬뜩함꼭한번보셈곤지암 화이팅 ,10,1,99.85641241073608
3862,대박 무서워요ㅜㅜ 계속 긴장하면서 봤구요 진짜 한국에도 이런공포영화가 나오다니  진짜 진짜 무섭습니다 보면서 몇번 후회했네여 너무 무서워서요 ㅜㅜ ,10,1,99.83965158462523
5504,이건 진짜 꼭 봐야 할 영화에요넘나 명작 ㅎㅎ ,10,1,99.8111605644226
6975,정말재밋엇어요 한국 공포영화들 중 가장 볼만해요ㅎㅎ ,9,1,99.8091459274292
8329,인칭 시점 이라는 독특한 소재가 영화에 몰입도를 높여준것 같음 긴장하면서 봐서 소리도 못지르고 영화관 관객 모두 끝나고도 잠시동안 침묵했을 정도로 몰입도 최고 결말이 약간 아쉽지만 계속 여운이 남는 영화였음 ,9,1,99.79593753814696
12060,최근 몇년동안 본 공포영화중에 젤 재밌게봐서 만점드립니다 ,10,1,99.79573488235474
8843,완전수작입니다 진짜잘만들었네요 강추합니다 ,10,1,99.78413581848145
6042,최근에  본 공포영화 중에서 가장 재밌게 봤습니다 추천할게요 흡입력지림ㅋㅋ ,10,1,99.77271556854248
3102,관람객와 진짜 너무너무너무 최고에요 역시 기담 영화만든 감독님답게 와 진짜 너무 최고의 명작 저 왠만하면 공포영화 칭찬잘안하는데 와 이거 인생영화 너무재밌었어요  ,10,1,99.77166652679443
255,올해 본 영화중 최고 이때까지 본 공포영화중 최고시작부터 흥미진진해서 지루할 틈없이 긴장과 공포를 맛보았음 존반적 이야기 흐름과 영화 퀄리티가 매우 완벽했음 최근들어 본 영화들 중 완성도가 제일 뛰어난 듯강,10,1,99.76545572280884
7583,재미없음 무섭지도않음 별반개도아까움 ,1,0,99.95751678943634
4553,한국공포영화최악이다별점이아까움 ,1,0,99.94974732398987
5327,개노잼 영화 시간이 아까움 ,2,0,99.94772374629974
6173,최악의 영화우리나라 공포영화가 이정도밖에 안되나요 ㅜㅜ점도 아까운 영화 ,1,0,99.9472200870514
6554,개최악 진짜 너무 최악임 ,1,0,99.94600713253021
4730,완전 쓰레기영화 보는내내 짜증만 났다 ,1,0,99.94542896747588
4112,진짜 역대 최악의 쓰레기 영화다 진짜 시간 너무 아깝다 ,1,0,99.9452829360962
2049,레알 최악의 영화에요돈아까움 ,2,0,99.94515180587769
9555,점도 아까운 영화 시간낭비만 함 ,1,0,99.94303286075592
3595,최악의 영화 무섭지도 그렇다고 깜짝 놀라게 하는 장면도 없는 정말 최악의 영화  솔직히 갠적으로 점도 아까움 ,1,0,99.94272887706757
