,review,score,label,pred,prob
0,소름돋게 재미있았는데요 평점이왜 테러인지 모르겠어요 진짜 잼나요 강추,10,1,1,99.82806444168091
1,최고임 ㅎㅎ 종교영화인데 연출연기 모두 좋네요 개인적으로 이런영화 긴장감 넘치고 재밌음,10,1,1,99.7791051864624
2,재밌어요 그냥 보세요 제생각엔 이상한 종교가 단체로 평점 낮게 주는듯요 스토리도 나쁘지 않고 마지막 반전도 꽤 재밌네요 ㅎㅎ 이정재씨 연기짱 ㅎㅎ마지막 등불도 연기짱,10,1,1,99.77745413780212
3,무서운건 기본이고 스토리 탄탄하고 반전까지 있음 장르가 공포물인지 알았는데 미스테리 스릴러 분위기라 지루할 틈이 없고 몰입감 쩔고 재미있었음,10,1,1,99.77073669433594
4,스토리 탄탄하고 연출도 좋고 배우들 연기 너무 좋고두번보면 더 재밌는 영화임에 분명하다 완전 강추,10,1,1,99.73768591880798
5,오묘한 느낌의 영화 눈뗄수없는 긴장감 최고에요,10,1,1,99.73437786102295
6,심야로 보고왔는데 당연히 어떤영화던 호불호가 갈리겠지만저는 정말 재밌게봤어요 연기도 이야기도 너무 좋았고 끝까지 한시도 눈을 뗄 수 없었어요 잘 생각해보면 설정들 다 이해가 가던데 암튼 너무 좋은영화,10,1,1,99.73275661468506
7,진짜 대박이다 영화를 해석해보는 재미도 있고 배우들 연기도 좋은데 특히 박정민 배우 연기는 정말 처절할 정도로 멋지고 아름답다,10,1,1,99.72407817840576
8,진짜재밌게 봤어요 심오하고 연출이 정말 굿굿 보고나서 종교와 결말에대해 생각을 해보게 되는 영화 ㅠㅠ 굿굿,10,1,1,99.71778392791748
9,이정도면 수작이라고 봐요 긴장감이 적다는 평점 때문에 기대없이 봤는데 전 소름끼치게 내내 긴장하고 봤어요 강추,9,1,1,99.7126817703247
10,핵노잼핵노잼핵노잼핵노잼,1,0,0,99.9279260635376
11,지루한 전개와 엉성한 스토리 시간 낭비,2,0,0,99.92594122886658
12,이거 진짜 진심 심각해요너무 재미없어요돈아까워서 아무리 보려고해도진짜 제 인생에 봣던영화중에 최악,1,0,0,99.91993308067322
13,그냥노잼 돈아까움 ㅡㅡ,2,0,0,99.91911053657532
14,진짜 존나 재미없다 시간이 너무 아까웠다,1,0,0,99.91648495197296
15,완전 꽝이엿음 시간낭비 돈낭비,2,0,0,99.91434514522552
16,집에서 천원 주고 봐도 이 돈 쓴 나를 죽이고 싶음존 노잼 핵 노잼 역대급영알못 인 내가 봐도 개노잼,1,0,0,99.9109297990799
17,영화 진짜 재미없고 유치하고 스토리 개연성 최악경찰은 왜나온거고 쌍둥이언니 전개는 뭐임내 두시간 돌려주세요,1,0,0,99.9100387096405
18,핵노잼 돈 시간 낭비 절대 비추,1,0,0,99.90793168544769
19,정말 아까운 영화 시나리오는 곡성 양들의침묵을 능가하나 돈이없었는지 연출력부족이지 여튼 그시나리오 가지고 이렇게 졸작 만들기도 힘든 영화 너무 아까움,4,0,0,99.90768432617188
