,score,review,label,pred,prob
163,10,오래전보고 가슴 절절히 아픈 기억이 남아있던 몽환적인 잿빛의 기억이 오래도록 남아있던 수작 생각보다 평점이 낮다니,1,1,99.71159697
213,10,오랜만에 다시 한번 봤는데 역시나 수작은 수작이네 오컬트물에 크리쳐와 슬래셔를 잘 믹싱했고 년이 넘은 영화지만 영상미와 특수 효과 암울한 분위기를 잘 표현한 명작임,1,1,99.67716336
85,10,공포영화지만 너무무섭지도 징그럽지도 않고 스토리도 대박이네요 연출과 배경도 훌륭하고 정말 오랜만에 보게 된 수작,1,1,99.64348078
1881,10,집중도굿 스토리굿 화면구성굿,1,1,99.60777164
1141,10,좀어려운영화지만 내가본공포중 최고인듯 특히 여배우들의연기에 완전감탄,1,1,99.60399866
927,10,스포를 봐야 잘 짜여진 영화임을 다시 알게 된다 괜찮은 수작,1,1,99.59640503
212,10,몇년이 지나도 안잊혀짐 ㅡ 임팩트 대박 ㅡ 평점이 너무낮다,1,1,99.58871603
1482,10,진짜 무서웠던 영화입니다 공포영화 많이 보는데 오랜만에 본 걸작 강추합니다,1,1,99.58649278
679,10,명작임  명작명작명작,1,1,99.58003759
116,9,게임원작으로 하는 영화중 제일 잘 만들었다 단순히 차원적인 깜짝 놀래키는 공포보다 분위기로 압도하는 영화 영화내내 그로테스크한 분위기와  절망감이  심리적 공포를 죄어온다   이 영화는 저평가된 명작이다,1,1,99.57306385
583,1,게임을알던모르던최악의 영화시간이 아까웠다제작비가아까웠다,0,0,99.86742139
3054,2,지루하고재미없다 이걸본시간이아까워,0,0,99.82146621
443,1,억지에억지를더한스토리에엔딩은머야 ㅡㅡ 시간아까워라 ㅡㅡ,0,0,99.80690777
402,1,아 정말 졸렸다시간 정말 아까움,0,0,99.80273247
366,1,그래픽을 제외하고는 짜증에 스토리라인 엉성시간이 아깝다,0,0,99.80224669
3176,4,봤는데 도 엉성하고 내용도 엉성 연기도 존나 못하는데 스토리 전개도 진짜 어색함,0,0,99.79071021
509,1,진짜 지루함의 끝을보여준다 진짜 아 결말도 개어이없어,0,0,99.78884757
3211,1,네이버 평점보고 봤는데 속은 기분  재미도없고 개연성도없고 유치하기까지 정신병 유발영화,0,0,99.78829026
3216,4,개노잼 무슨 사이비종교 영화인줄ㅋㅋㅋㅋ결말해석글봐도 노잼임,0,0,99.78631437
181,1,위험한 상황을 굳이 캐내겠다고 남편몰래 사랑하는 딸을 데리고 떠나는 설정 이유없이 경찰을 적으로 만드는 설정등 이해할 수 없는 내용흐름에 어이가 없었다,0,0,99.77942109
