,score,review,label,pred,prob
3221,10,반전 굿 연기 쩐다 와우 스릴러영화 좋아하는데 넘재밌게봤음강추,1,1,99.82863664627075
3463,10,진짜 한마디로 최고 너무너무 재밌고 무엇보다 연기력이 굿이였던 강추,1,1,99.82028007507324
3521,10,완전 대박대박 마지막도 깔끔하고 우왓 ㅎㅎ,1,1,99.81690645217896
4001,10,긴장감최고반전 대박 연기력 절정스토리 탄탄최고에요,1,1,99.78907704353333
4588,10,이번 여름에 봤던 공포중 최고였음 반전 짱이였다 진짜재밌어요 ㅠㅠ,1,1,99.7870683670044
4948,10,오늘 보고왔어요 반전도 최고구 올해 공포영화 중에 최고에요,1,1,99.78402853012085
3663,10,최근에 폰 공포스릴러 영화 중 단연 최고예요 완전 추천,1,1,99.77855682373047
2428,10,오랜만에 재미있게봤네요   역시 반전은 모르고 보는게 재미있죠 ㅎㅎ,1,1,99.77506399154663
3264,10,대박대박대박  영화내내 대박대박을 외침 ㅜ 진짜 최고,1,1,99.76722002029419
3045,10,후회없음 정말 잘만든영화 탄탄한 스토리와 연기가 굿,1,1,99.76188540458679
992,3,공포영화를 기대했는데 이건 뭐 무섭지도 않고 네이버 평점이랑 제 평점이 이렇게 갈린적은 처음이네요 그냥 짜증만 납니다 뭐 말도 안되게 이상한 상황이 일어나도 대수롭지 않게 넘기고 개연성도 너무 떨어져요,0,0,99.83629286289215
4828,1,완전 돈 아까웠어요 보다가 나왔음 ㅡㅡ 극장서 영화보다 나오기는 첨이네요,0,0,99.8174250125885
3388,1,쓰레기중에 쓰레기 별반개도 아깝다,0,0,99.81380701065063
4253,3,글쎄반전이너무싱겁게밝혀졌고막판에완전지루,0,0,99.80859756469727
2943,3,최악이다 기분 나빠지는 영화,0,0,99.79800283908844
4492,1,무섭지도 않고 지루하고대체 주제가 무엇인지 모르겠다 시간과 돈이 아깝다,0,0,99.79579448699951
5351,1,하 평점에낚였다 개연성 부족 현실성 부족 개노잼,0,0,99.7863233089447
4226,1,너무지루해 ㅜㅜ 반전은 무슨 반전 다 알바네,0,0,99.78087842464447
3533,1,알바들 쩌네 진짜ㅡㅡ무섭긴 개뿔반전도 진짜 미리 예측 가능함알바에속지맙시다,0,0,99.78010654449463
5166,4,내평점 기대이하평점이 이해안되네요 연기도 그저그런 지루한 급 스릴러정도몰입도도 점점떨어지고 전개가 너무 답답함,0,0,99.77613091468811
