,score,review,label,pred,prob
6379,10,배우들의 명연기와 숨어있는 복선들까지몇번을 봐도 질리지 않을 긴장감 넘치는 영화,1,1,99.81201887130737
8039,10,간만에 수작 나와서 너무 좋네요 ㅎㅎ,1,1,99.80490207672119
7572,10,작품성이 정말 뛰어나고 한순간도 재밋지않은시간이 없었어요 너무재밌고 스토리도탄탄하고 요새본영화중제일이네요 대박입니다연기도 소름끼치고 정말잘보고나왔어요완전 꼭보세요,1,1,99.7844934463501
7792,10,길고긴 런닝타임 내내 긴장을 멈출 수 없었어요 마지막이 좀 이해가 안가서 후기 읽고 이해를 해봅니다 암튼 몰입감은 정말 최고ㅎ,1,1,99.76944923400879
1655,10,몰입감넘치고 너무짜릿하고 재밌고 한국적요소도 알맞게 어우린 정말 기대이상의 대작이었음 뒤늦게본게 아쉬울정도로 손에땀찰정도로 긴장되고 무섭고 재밌음 배우들연기도 정말잘하고최고,1,1,99.7582197189331
3252,10,신선한 충격이었던 영화 몇년이 흘러도 여운이 남아있는 띵작ㅠ,1,1,99.74555969238281
8251,10,보는 내내 닭살너무 무서웠어요 연출 연기 최고최고 마지막끝나고 나면 꼭 대화를 나누고 서로 자기의 생각을 얘기하게되는 영화에요보는이에 따라서 다르게 느낄수 있는재미나게 잘봤어요 강추합니다,1,1,99.74107146263123
7113,10,곡성만큼은  만점을줘도 아깝지 않은영화였다 시나리오면 시나리오연기면연기 스릴감 어느하나 빠지지않는 작품올해 본 영화중 단연 최고다,1,1,99.70982074737549
5025,10,꿀잼ㅎ 연기력도 소름  ㅇ반전에반전연속굿,1,1,99.70839619636536
8063,10,처음부터 끝까지 숨도 못 쉬고 봤다 진짜 최고다 어떻게 이런 영화를 만들지 최근 본 영화 중에 가장 소름 돋고 한순간도 긴장을 놓칠 수 없을 정도로 정말 최고의 영화이다 진짜 뻥 안 까고 너무 재밌다,1,1,99.7044026851654
2498,1,노잼 돈 시간 아까움 식스 센스 그거처럼 대단한 반전도아니고 그냥 지루함,0,0,99.89482462406158
2896,1,한미일 귀신 좀비 믹스에 스토리 개연성도 떨어지는 삼류영화배우들 연기가 너무 아까워,0,0,99.8909592628479
5120,1,최악이다 괜히봤다 본시간이아깝다,0,0,99.8902291059494
5067,1,별 개도 아까운 쓰레기 영화사의 자본력과 감독의 유명세가 합쳐져 쓰레기같은 영화가 탄생했네요 돈과 시간 모두 아깝,0,0,99.88335371017456
6928,1,아진짜최악의 영화러닝타임도 너무 길고 반전 보여주려고 애썼는데 진짜 재미없음,0,0,99.88089501857758
1578,1,내가 살면서 본 최악의 영화감독이 용서가 안된다  정신적 장애 입겄다 영화하나때문에점도 아깝다 ,0,0,99.8765230178833
4717,1,영화배우들은 잘 소화해냈지만 스토리가 쓰레기라영화자체는 전혀 재미가없고 답답할 뿐더러무슨 의도를 전하려는 것인지 모를 영화내 생애 최악의 영화,0,0,99.87591803073883
5161,3,영화가 대체 개연성이 전혀없다 보고나면 찝찝하고 더러운기분까지  황정민 연기는 진짜잘하지만 감독이 제대로 미친듯 진짜 최악의 영화임,0,0,99.87147748470306
266,1,왕십리점 수 방금 본 생생한 후기입니다정말 답없는 영화 좀비에 호러물임 진짜 점짜리 다 알바인듯 좀비물 하 돈 존나 아깝다 군인이라서 원으로 봤는데 너무 아깝다,0,0,99.86802339553833
1845,1,최악 기분 드럽고 개연성 제로 유재석이 자꾸 언급해서 봤는데 개실망,0,0,99.86630082130432
