,review,score,label,prob
2111,마지막약간허무하네요그래도무섭게 짜릿하게 재밌게 감동적이게 사조합으로잘봤어여ㅎㅎ마지막모정애너무감동이였네요ㅠ ,10,1,99.91616606712341
597,짱재밌어요 ㅋㅋ 컨저링보단 덜하지만 그래도 볼만함 굿 ㅋ ,10,1,99.90551471710205
2119,꿀잼이에요 생각보다 잘 나온 영화심장이 쫄깃해지는 공포감 느끼고픈 사람들에게 추천합니다 ,9,1,99.89545345306395
2040,컨저링도 진짜 재밌게 봤는데 애나벨도 장난아님무서운거 잘보면 강추함 ,10,1,99.895179271698
1288,관람객데드사일런스인시디어스컨저링인시디어스애나벨 순으로 보면서 역시나 이번에도 최고였음공포영화를 어떻게 이렇게 실감나면서도 항상 마지막 여운이 남게하지 아무튼 최고임 ,10,1,99.88515973091124
797,난 보는 내내 긴장을 놓칠수가 없던데 ㅎㅎ ,9,1,99.88293647766113
1279,정말 소름 끼치고 오싹한 영화입니다 여름에 보면 짜릿하고 서늘해지는 딱 그런 영화 내 생애 최고의 공포영화였습니다 ,10,1,99.88098740577698
1362,완전 긴장감 쩔음마지막까지 긴장감을 놓치지 않고 푹 빠져서 봤음 ,10,1,99.87214207649231
2132,스토리 반전 대박이구요 완전 후아 계속 무서워요 ㅠㅜㅜ와 컨저링 전 얘기인데 굳굳 ,10,1,99.868905544281
1714,기대이상으로 재밌었다능 소름돋는장면도 많고 추천 ,10,1,99.86671209335329
116,정말최악이다 그리고   다시보기도 싫다 ,1,0,99.9478667974472
1672,정말정말 재미없습니다 영화끝나고 관객들 하는말이 아 모야 진짜 최악이다 이소리에 영화보는내내 정말 안무섭습니다 전개도 엉망이고 알바에 속지마세요 ,1,0,99.939626455307
1457,개노잼이고 애를 왜 계속 혼자두는지 모르겠음 너무 지루해서 일에 걸쳐서 보는중 그리고 여자역 누가 말할때 말 끊는거 설정임 발암투성이 영화 ,2,0,99.93290901184082
2383,극장안의 사람들의 기가차다는 탄식소리가 동시에 뿜어져나옴감독 바뀌니까 정말 망작이다 긴장은 했는데 컨저링 수준의 스토리개연성연기력공포감 모두 멸종ㅋ 네이버 알바가 진짜 존재하긴하는갑다결론은 지루하고,3,0,99.92963671684264
2290,역대급 노잼 돈아까움 주온보다 재미없음 ,1,0,99.92793500423431
2415,평점 제대로 뜰때까지 기다릴걸 그랬다 개노잼  예상대로 예고편만 지리지 실 내용은 별볼일 없고 진부한 전개 캐릭터 스토리에 따로놀고 이렇게 비중도 안주려면 다른 배역들은 왜 출연시켰는지 ,1,0,99.92737472057344
1162,완전노잼 보다가졸음 끝부분에 그냥나옴ㅋ 왠만하면 공포영화 무서워하는데 한개도안무서움ㅡㅡ 컨저링짜세 돈도버리고 시간도버리고 ,1,0,99.92699921131134
1135,이건 진짜 재미없었다 하나도 안무섭구  사실 컨저리은 점수준 애나벨은 점수준이라고 볼수있겠다  진짜재미없어 ,1,0,99.9237596988678
2152,초반지루하고 중간에무서운장면몇개나오고 결말은 진짜 한 분만에난다 스토리가 정말형편업다고자신할수잇다정말 어거지로 끼워맞추고 결말도 어이가없다 무서운장면몇개는진짜무섭긴했는데그걸잊을정도로 스토리가정말형편없다,2,0,99.9237209558487
1755,컨저링이 수작이면 애나벨은 뭐 이것저것 암시를 주는척 하는데 뭐 이도저도 아닌 그냥 졸작인듯 싶다 한마디로 재미없음 ,4,0,99.92102980613708
