,review,score,label,prob
4020,쉬어갈틈을 안주네요 공포 ㅠ 집에  오는내내 무섭다 끝이 아쉽긴했지만 오랜만에 느끼는 공포 강추에요 ,10,1,99.96960759162904
4161,공포영화로 진짜 최곱니다 사운드 긴장감 시각적인 부분까지 충격적일만큼 너무 재밌게 잘 봤고요 애인끼리보면 아주 친해질겁니다 ㅎㅎ추천 ,10,1,99.95079040527344
1100,간만에제대로소름끼치는레알공포영화를보니반가웠음오컬트나퇴마에배경지식이있거나관심있다면정말무섭게느끼면서볼수있을듯 무서운장면이아예없진않구엑소시즘에관심이있다면더욱강추함다 ,10,1,99.94490146636964
4097,요즘 공포영화라 함은 잔인성을 극대화 시킨 자극적인 것들이 많은데 정말 오랫만에 정통 공포영화를 봐서 너무 좋았습니다 영화를 봣는데 사운드로 인해 영화를 본 느낌이 너무 너무 좋았습니다 ,10,1,99.94380474090576
3663,공포영화에서 무서운내용은 당연히있어야하지만 마지막에 진한 감동도 있어서  조조로봤는데 넘좋은영화인거같아요 ㅎㅎ 무섭긴무서웠어요ㅜ ,10,1,99.93451833724977
3164,진짜 대박 잼있어요 완전 추천 ㅎㅎ 스토리고 괜찮고 적당한 긴장감 사운드 굿 ㅋㅋㅋ 사람들마다 평이 다르겠지만 전 완전추천합니다 ㅎ ,10,1,99.92652535438538
2194,전개까지는 지루하지않고 좋았는데 마무리가 좀 아쉬웠어요 그래도 간만에 공포영화 재밌었어요 ㅎㅎ ,9,1,99.92096424102785
2022,진짜 완전 꿀잼  꼭 보세요ㅎ ,10,1,99.91960525512695
3069,내평점 긴장감을 서서히 조여오는 무서운 영화랄까 제가 공포영화를 정말 좋아하는데 간만에 재밌게 감상했네요 무서운 장면이 이런 장르의 다른 영화들보다 신선한 느낌이어서 기분좋,10,1,99.9138355255127
1987,올해 본 영화중에 최고다 정말 최고 와  공포영화 엄청 좋아 하는데   요즘 공포영화 식상해서 이제는 다 안볼거다 했는데 완전 대박 정말 잼있음 ,10,1,99.91089105606079
252,진짜 너무 뻔하고 파라노마엑티비티랑다를봐가없더라처음부터끝까지지루해서짜증나더라 평점에서무섭다해서갔는데무섭지도않고ㅡㅡ ,1,0,99.9650627374649
251,베스트 리뷰들 정말 의아하다 안무서운건 둘째치고 재미도없음 무섭지도않고 최악의 영화다참고로 나 공포영화 되게못보는편인데도 씹노잼 ,1,0,99.93103444576263
4772,귀신 안 나오고 무서운 영화라길래 와 진짜 무섭겠네하고 기대하고 봤는데 귀신 나오는 장면부터 진짜 드럽게 재미없어짐ㅡㅡ ,4,0,99.93048906326294
672,진심 정말 예고편이 제일 무서운 영화인듯   다들 무섭다는데 솔직히 예전영화인 엑소시스트보다 저질인 영화였다 돈주고 보기엔 정말 아까운 영화 점도 아까움 ㅡㅡ ,1,0,99.9276041984558
681,개허접쓰레기영화 알바들 다진짜 내돈내놔 ,1,0,99.92198646068572
3830,진짜 공포영화못보는데남자친구땜에 억지로봤음알바들댓글땜에 완전 겁먹어서봤는데 공포영화못보는 나도 그닥 무섭지도않고  잠잘때생각조차안남ㅋㅋ와 진짜  알바들대단타ㅋㅋ남친왈  이걸 공포영화라고만들다니 완전허무하다는 ,1,0,99.92064535617828
255,정말 무섭다고 해서 봤더니 너무나도 큰 실망감 너무 재미없었다 괜시리 돈만날린 느낌 ,1,0,99.918070435524
4764,그닥공포스럽기도스토리도없는영화티비나오는진실혹은거짓코너를보는듯한착각이들었음돈주고보긴아까운돈받고봐야하는수준의영화임 ,1,0,99.91773664951323
4370,레알 씹노잼 ㅇ실망함 내용이 너무 식상하네 대충 공포영화 짬뽕해논거같은느낌 이도저도아닌 딱 급영화 ,1,0,99.91588592529295
643,진짜 최악이다 완전삼류영화다 정말기대많이했는데 뭐가무섭다는건지 차라리여고괴담이더무서움 깜짝깜짝놀라는장면외엔 별거없다스토리도허접 ,1,0,99.91528391838074
